first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Thatcher,Demko,35,,8477967,1995-12-08,VAN,24,0.919081,4,2.472716,33
Casey,DeSmith,29,,8479193,1991-08-13,VAN,7,0.9175,1,2.550213,14
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Brandon,Bussi,30,,8483548,1998-06-25,BOS,,,,,17
Jeremy,Swayman,1,,8480280,1998-11-24,BOS,14,0.922545,3,2.365975,25
Linus,Ullmark,35,,8476999,1993-07-31,BOS,14,0.913169,0,2.803703,22
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Laurent,Brossoit,39,,8476316,1993-03-23,WPG,7,0.922581,0,2.182755,11
Connor,Hellebuyck,37,,8476945,1993-05-19,WPG,23,0.926653,2,2.146132,33
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Alexandar,Georgiev,40,,8480382,1996-02-10,COL,25,0.896392,2,2.979478,39
Ivan,Prosvetov,50,,8481031,1999-03-05,COL,4,0.895161,0,3.156723,11
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Jonathan,Quick,32,,8471734,1986-01-21,NYR,9,0.913043,2,2.459901,16
Igor,Shesterkin,31,,8478048,1995-12-30,NYR,19,0.902123,0,2.813586,30
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Jake,Oettinger,29,,8479979,1998-12-18,DAL,13,0.90411,1,2.964915,25
Scott,Wedgewood,41,,8475809,1992-08-14,DAL,13,0.899054,0,2.9821,22
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Adin,Hill,33,,8478499,1996-05-11,VGK,10,0.933498,2,1.925973,15
Jiri,Patera,30,,8480238,1999-02-24,VGK,1,0.900621,0,3.748536,5
Isaiah,Saville,31,,8481520,2000-09-21,VGK,,,,,5
Logan,Thompson,36,,8480313,1997-02-25,VGK,16,0.910429,0,2.611989,29
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Sergei,Bobrovsky,72,,8475683,1988-09-20,FLA,21,0.907794,2,2.545797,34
Anthony,Stolarz,41,,8476932,1994-01-20,FLA,6,0.912458,0,2.216801,13
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Samuel,Ersson,33,,8481035,1999-10-20,PHI,12,0.908592,3,2.360501,22
Carter,Hart,79,,8479394,1998-08-13,PHI,12,0.906465,1,2.80377,26
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Frederik,Andersen,31,,8475883,1989-10-02,CAR,4,0.894366,0,2.865482,6
Pyotr,Kochetkov,52,,8481611,1999-06-25,CAR,11,0.899814,1,2.578865,23
Spencer,Martin,41,,8477484,1995-06-08,CAR,3,0.886544,0,3.648104,13
Antti,Raanta,32,,8477293,1989-05-12,CAR,10,0.866071,1,3.199336,21
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Martin,Jones,31,,8474889,1990-01-10,TOR,9,0.910675,2,2.644166,17
Ilya,Samsonov,35,,8478492,1997-02-22,TOR,6,0.865707,1,3.69028,17
Joseph,Woll,60,,8479361,1998-07-12,TOR,8,0.916327,0,2.795825,15
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Calvin,Pickard,30,,8475717,1992-04-15,EDM,4,0.902703,0,2.687124,7
Stuart,Skinner,74,,8479973,1998-11-01,EDM,21,0.906024,2,2.533564,32
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Ville,Husso,35,,8478024,1995-02-06,DET,9,0.892532,0,3.525487,18
Alex,Lyon,34,,8479312,1992-12-09,DET,11,0.92381,1,2.470195,17
James,Reimer,47,,8473503,1988-03-15,DET,4,0.892761,1,3.300179,13
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Jonas,Johansson,31,,8477992,1995-09-19,TBL,10,0.893871,2,3.335204,22
Andrei,Vasilevskiy,88,,8476883,1994-07-25,TBL,13,0.900929,1,2.834297,23
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Pheonix,Copley,29,,8477831,1992-01-18,LAK,4,0.870056,1,3.163082,8
David,Rittich,31,,8479496,1992-08-19,LAK,4,0.937107,0,1.583322,7
Cam,Talbot,39,,8475660,1987-07-05,LAK,14,0.915094,2,2.434603,30
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Kevin,Lankinen,32,,8480947,1995-04-28,NSH,6,0.898204,0,3.122927,13
Juuse,Saros,74,,8477424,1995-04-19,NSH,18,0.902077,2,2.966021,36
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Kenneth,Appleby,50,,8478965,1995-04-10,NYI,0,0.75,0,6.0,1
Ilya,Sorokin,30,,8478009,1995-08-04,NYI,14,0.909787,2,3.168619,34
Semyon,Varlamov,40,,8473575,1988-04-27,NYI,6,0.91784,2,2.779064,14
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Darcy,Kuemper,35,,8475311,1990-05-05,WSH,11,0.894737,1,3.126861,23
Charlie,Lindgren,79,,8479292,1993-12-18,WSH,9,0.925859,2,2.267455,19
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Nico,Daws,50,,8482076,2000-12-22,NJD,3,0.903084,0,3.188021,7
Vitek,Vanecek,41,,8477970,1996-01-09,NJD,15,0.885294,0,3.216716,26
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Tristan,Jarry,35,,8477465,1995-04-29,PIT,12,0.915,5,2.502325,30
Alex,Nedeljkovic,39,,8477968,1996-01-07,PIT,8,0.916479,1,2.658895,15
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Connor,Ingram,39,,8478971,1997-03-31,ARI,16,0.91918,5,2.487111,29
Karel,Vejmelka,70,,8478872,1996-05-25,ARI,6,0.898711,1,3.31765,19
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Jacob,Markstrom,25,,8474593,1990-01-31,CGY,13,0.912304,1,2.590957,26
Dan,Vladar,80,,8478435,1997-08-20,CGY,7,0.887912,0,3.271561,16
Dustin,Wolf,32,,8481692,2001-04-16,CGY,1,0.892617,0,3.460914,5
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Joey,Daccord,35,,8478916,1996-08-19,SEA,13,0.921749,2,2.333473,30
Chris,Driedger,60,,8476904,1994-05-18,SEA,1,0.916667,0,2.508711,2
Philipp,Grubauer,31,,8475831,1991-11-25,SEA,5,0.884259,0,3.253678,17
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Jordan,Binnington,50,,8476412,1993-07-11,STL,15,0.906152,2,2.977449,32
Joel,Hofer,30,,8480981,2000-07-30,STL,7,0.909513,1,2.882898,16
first_name,last_name,number,position,id,birthday,team,wins,saveP,shutouts,gaa,gp
Marc-Andre,Fleury,29,,8470594,1984-11-28,MIN,8,0.897059,1,2.947713,23
Filip,Gustavsson,32,,8479406,1998-06-07,MIN,12,0.895778,2,3.303098,26
Jesper,Wallstedt,30,,8482661,2002-11-14,MIN,0,0.794118,0,7.0,1
