Nils,Aman,88,,8482496,2000-02-07,VAN,16,2,4,6,23
Teddy,Blueger,53,,8476927,1994-08-15,VAN,47,5,16,21,32
Brock,Boeser,6,,8478444,1997-02-25,VAN,125,27,19,46,46
Phillip,Di Giuseppe,34,,8476858,1993-10-09,VAN,39,3,5,8,32
Conor,Garland,8,,8478856,1996-03-11,VAN,102,8,16,24,46
Nils,Hoglander,21,,8481535,2000-12-20,VAN,58,14,6,20,44
Dakota,Joshua,81,,8478057,1996-05-15,VAN,53,12,11,23,45
Linus,Karlsson,94,,8481024,1999-11-16,VAN,4,0,0,0,4
Andrei,Kuzmenko,96,,8483808,1996-02-04,VAN,60,8,11,19,40
Sam,Lafferty,18,,8478043,1995-03-06,VAN,48,10,10,20,46
Ilya,Mikheyev,65,,8481624,1994-10-10,VAN,85,10,12,22,42
J.T.,Miller,9,,8476468,1993-03-14,VAN,95,21,42,63,46
Elias,Pettersson,40,,8480012,1998-11-12,VAN,128,25,36,61,46
Pius,Suter,24,,8480459,1996-05-24,VAN,48,8,4,12,32
Guillaume,Brisebois,55,,8478465,1997-07-21,VAN,15,1,2,3,17
Ian,Cole,82,,8474013,1989-02-21,VAN,36,1,6,7,45
Mark,Friedman,51,,8478017,1995-12-25,VAN,14,0,1,1,18
Filip,Hronek,17,,8479425,1997-11-02,VAN,88,3,33,36,46
Quinn,Hughes,43,,8480800,1999-10-14,VAN,110,11,45,56,46
Noah,Juulsen,47,,8478454,1997-04-02,VAN,11,0,2,2,29
Tyler,Myers,57,,8474574,1990-02-01,VAN,47,3,15,18,46
Tucker,Poolman,5,,8477359,1993-06-08,VAN,3,0,1,1,3
Carson,Soucy,7,,8477369,1994-07-27,VAN,15,2,4,6,21
Nikita,Zadorov,91,,8477507,1995-04-16,VAN,49,1,9,10,42
Jesper,Boqvist,70,,8480003,1998-10-30,BOS,9,1,2,3,10
Charlie,Coyle,13,,8475745,1992-03-02,BOS,93,16,20,36,45
Jake,DeBrusk,74,,8478498,1996-10-17,BOS,96,11,13,24,44
Trent,Frederic,11,,8479365,1998-02-11,BOS,67,13,11,24,45
