VAN,Canucks,Vancouver,29,11,4,66,1,Western,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
BOS,Bruins,Boston,23,8,9,65,2,Eastern,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
WPG,Jets,Winnipeg,27,10,4,64,3,Western,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
COL,Avalanche,Colorado,26,14,3,63,4,Western,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
NYR,Rangers,NY Rangers,24,15,2,60,5,Eastern,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
DAL,Stars,Dallas,20,13,6,60,6,Western,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg
VGK,Golden Knights,Vegas,20,14,5,59,7,Western,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg
FLA,Panthers,Florida,24,14,4,58,8,Eastern,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
PHI,Flyers,Philadelphia,17,16,6,56,9,Eastern,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg
CAR,Hurricanes,Carolina,20,15,5,55,10,Eastern,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg
TOR,Maple Leafs,Toronto,15,14,8,54,11,Eastern,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg
EDM,Oilers,Edmonton,21,15,1,53,12,Western,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
DET,Red Wings,Detroit,18,17,5,53,13,Eastern,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
TBL,Lightning,Tampa Bay,19,18,5,53,14,Eastern,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
LAK,Kings,Los Angeles,20,13,8,52,15,Western,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
NSH,Predators,Nashville,19,20,1,51,16,Western,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg
NYI,Islanders,NY Islanders,14,15,11,51,17,Eastern,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg
WSH,Capitals,Washington,16,16,6,50,18,Eastern,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
NJD,Devils,New Jersey,19,18,3,49,19,Eastern,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg
PIT,Penguins,Pittsburgh,18,16,6,48,20,Eastern,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
ARI,Coyotes,Arizona,17,19,3,47,21,Western,https://assets.nhle.com/logos/nhl/svg/ARI_light.svg
CGY,Flames,Calgary,17,20,5,47,22,Western,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg
SEA,Kraken,Seattle,15,18,9,47,23,Western,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg
STL,Blues,St Louis,18,20,2,46,24,Western,https://assets.nhle.com/logos/nhl/svg/STL_light.svg
MIN,Wild,Minnesota,14,21,5,45,25,Western,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg
MTL,Canadiens,Montréal,10,20,7,45,26,Eastern,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
BUF,Sabres,Buffalo,18,22,4,44,27,Eastern,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg
CBJ,Blue Jackets,Columbus,9,22,9,37,28,Eastern,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
OTT,Senators,Ottawa,14,24,1,35,29,Eastern,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
ANA,Ducks,Anaheim,10,30,1,31,30,Western,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
CHI,Blackhawks,Chicago,9,30,2,30,31,Western,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg
SJS,Sharks,San Jose,9,31,4,26,32,Western,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg
